,syll,next_syll,size,emp_tp
0,bi,ku,45,1.0
1,bu,do,45,1.0
2,da,ro,90,1.0
3,do,da,21,0.4666666666666667
4,do,go,24,0.5333333333333333
5,go,la,90,1.0
6,ku,da,24,0.5333333333333333
7,ku,go,20,0.4444444444444444
8,ku,ti,1,0.022222222222222223
9,la,tu,90,1.0
10,pa,bi,45,1.0
11,pi,go,45,0.5056179775280899
12,pi,pa,20,0.2247191011235955
13,pi,ti,24,0.2696629213483146
14,ro,pi,90,1.0
15,ti,bu,45,1.0
16,tu,da,45,0.5
17,tu,pa,25,0.2777777777777778
18,tu,ti,20,0.2222222222222222
