,syll,next_syll,size,emp_tp,tp,next_vec,rec,mse,eucl,familiar,pair,n_data,n_model
0,ba,bu,17.0,0.25757575757575757,0.2,[0 0 0 0 0 0 0 0 0 1 0 0],"[ 7.27284700e-04 -6.51136041e-04  1.81637913e-01  3.57218087e-04
  3.18643540e-01  4.21226025e-04  1.20953016e-01  3.05126421e-04
  1.65630784e-03  2.56917268e-01  1.20420180e-01 -2.97494233e-04]",0.059652734871517864,0.8460690388249734,1,ba_bu,0,0
1,ba,pi,21.0,0.3181818181818182,0.2,[0 0 0 0 1 0 0 0 0 0 0 0],"[ 7.27284700e-04 -6.51136041e-04  1.81637913e-01  3.57218087e-04
  3.18643540e-01  4.21226025e-04  1.20953016e-01  3.05126421e-04
  1.65630784e-03  2.56917268e-01  1.20420180e-01 -2.97494233e-04]",0.04936502285382275,0.7696624417534437,1,ba_pi,0,0
2,ba,ta,12.0,0.18181818181818182,0.2,[0 0 1 0 0 0 0 0 0 0 0 0],"[ 7.27284700e-04 -6.51136041e-04  1.81637913e-01  3.57218087e-04
  3.18643540e-01  4.21226025e-04  1.20953016e-01  3.05126421e-04
  1.65630784e-03  2.56917268e-01  1.20420180e-01 -2.97494233e-04]",0.07219929404637342,0.9308015516513072,1,ba_ta,0,0
3,ba,ti,8.0,0.12121212121212122,0.2,[0 0 0 0 0 0 1 0 0 0 0 0],"[ 7.27284700e-04 -6.51136041e-04  1.81637913e-01  3.57218087e-04
  3.18643540e-01  4.21226025e-04  1.20953016e-01  3.05126421e-04
  1.65630784e-03  2.56917268e-01  1.20420180e-01 -2.97494233e-04]",0.08231344354729975,0.9938618226733519,1,ba_ti,0,0
4,ba,tu,8.0,0.12121212121212122,0.2,[0 0 0 0 0 0 0 0 0 0 1 0],"[ 7.27284700e-04 -6.51136041e-04  1.81637913e-01  3.57218087e-04
  3.18643540e-01  4.21226025e-04  1.20953016e-01  3.05126421e-04
  1.65630784e-03  2.56917268e-01  1.20420180e-01 -2.97494233e-04]",0.08240224950096135,0.9943978047097329,1,ba_tu,0,0
5,bi,bu,7.0,0.050359712230215826,0.1,[0 0 0 0 0 0 0 0 0 1 0 0],"[ 1.9293696e-01 -1.0343641e-04  2.0717645e-01  2.0677596e-04
  1.8555896e-01 -1.5455484e-04  1.0746238e-01  4.8908405e-05
  2.9665604e-04  4.9947187e-02  2.5019643e-01 -1.1329353e-04]",0.09094381825161961,1.0446654100808714,1,bi_bu,0,0
6,bi,pa,27.0,0.19424460431654678,0.1,[1 0 0 0 0 0 0 0 0 0 0 0],"[ 1.9293696e-01 -1.0343641e-04  2.0717645e-01  2.0677596e-04
  1.8555896e-01 -1.5455484e-04  1.0746238e-01  4.8908405e-05
  2.9665604e-04  4.9947187e-02  2.5019643e-01 -1.1329353e-04]",0.06711218998862294,0.8974108757216369,1,bi_pa,0,0
7,bi,pa,27.0,0.19424460431654678,0.1,[1 0 0 0 0 0 0 0 0 0 0 0],"[ 1.9293696e-01 -1.0343641e-04  2.0717645e-01  2.0677596e-04
  1.8555896e-01 -1.5455484e-04  1.0746238e-01  4.8908405e-05
  2.9665604e-04  4.9947187e-02  2.5019643e-01 -1.1329353e-04]",0.06711218998862294,0.8974108757216369,1,bi_pa,0,0
8,bi,pi,26.0,0.18705035971223022,0.1,[0 0 0 0 1 0 0 0 0 0 0 0],"[ 1.9293696e-01 -1.0343641e-04  2.0717645e-01  2.0677596e-04
  1.8555896e-01 -1.5455484e-04  1.0746238e-01  4.8908405e-05
  2.9665604e-04  4.9947187e-02  2.5019643e-01 -1.1329353e-04]",0.06834185616208104,0.9055949833921191,1,bi_pi,0,0
9,bi,pi,26.0,0.18705035971223022,0.1,[0 0 0 0 1 0 0 0 0 0 0 0],"[ 1.9293696e-01 -1.0343641e-04  2.0717645e-01  2.0677596e-04
  1.8555896e-01 -1.5455484e-04  1.0746238e-01  4.8908405e-05
  2.9665604e-04  4.9947187e-02  2.5019643e-01 -1.1329353e-04]",0.06834185616208104,0.9055949833921191,1,bi_pi,0,0
