,tp,condition,model_num,ae_mse,word,epochs,exp,model_type
2,0.75,part-word,12,16.053288,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,12,67.4296,pi-go-la,1,1,acoustic
0,1.0,word,13,13.979166,pa-bi-ku,1,1,acoustic
1,1.0,word,13,20.864145,ti-bu-do,1,1,acoustic
2,0.75,part-word,13,16.052366,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,13,67.43127,pi-go-la,1,1,acoustic
0,1.0,word,14,13.988246,pa-bi-ku,1,1,acoustic
1,1.0,word,14,20.873455,ti-bu-do,1,1,acoustic
2,0.75,part-word,14,16.059986,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,14,67.45961,pi-go-la,1,1,acoustic
0,1.0,word,15,13.986062,pa-bi-ku,1,1,acoustic
1,1.0,word,15,20.884602,ti-bu-do,1,1,acoustic
2,0.75,part-word,15,16.069313,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,15,67.47368,pi-go-la,1,1,acoustic
0,1.0,word,16,13.978174,pa-bi-ku,1,1,acoustic
1,1.0,word,16,20.862274,ti-bu-do,1,1,acoustic
2,0.75,part-word,16,16.044464,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,16,67.41562,pi-go-la,1,1,acoustic
0,1.0,word,17,13.982137,pa-bi-ku,1,1,acoustic
1,1.0,word,17,20.876972,ti-bu-do,1,1,acoustic
2,0.75,part-word,17,16.060806,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,17,67.46275,pi-go-la,1,1,acoustic
0,1.0,word,18,13.980481,pa-bi-ku,1,1,acoustic
1,1.0,word,18,20.869621,ti-bu-do,1,1,acoustic
2,0.75,part-word,18,16.050724,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,18,67.43828,pi-go-la,1,1,acoustic
0,1.0,word,19,13.988378,pa-bi-ku,1,1,acoustic
1,1.0,word,19,20.884375,ti-bu-do,1,1,acoustic
2,0.75,part-word,19,16.065548,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,19,67.470085,pi-go-la,1,1,acoustic
0,1.0,word,20,13.977428,pa-bi-ku,1,1,acoustic
1,1.0,word,20,20.880022,ti-bu-do,1,1,acoustic
2,0.75,part-word,20,16.060183,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,20,67.44685,pi-go-la,1,1,acoustic
0,1.0,word,21,13.975576,pa-bi-ku,1,1,acoustic
1,1.0,word,21,20.867584,ti-bu-do,1,1,acoustic
2,0.75,part-word,21,16.052517,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,21,67.43591,pi-go-la,1,1,acoustic
0,1.0,word,22,13.983255,pa-bi-ku,1,1,acoustic
1,1.0,word,22,20.883936,ti-bu-do,1,1,acoustic
2,0.75,part-word,22,16.064379,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,22,67.4682,pi-go-la,1,1,acoustic
0,1.0,word,23,13.987969,pa-bi-ku,1,1,acoustic
1,1.0,word,23,20.889473,ti-bu-do,1,1,acoustic
2,0.75,part-word,23,16.06998,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,23,67.47429,pi-go-la,1,1,acoustic
0,1.0,word,24,13.962627,pa-bi-ku,1,1,acoustic
1,1.0,word,24,20.86435,ti-bu-do,1,1,acoustic
2,0.75,part-word,24,16.0448,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,24,67.41403,pi-go-la,1,1,acoustic
0,1.0,word,25,13.961837,pa-bi-ku,1,1,acoustic
1,1.0,word,25,20.852224,ti-bu-do,1,1,acoustic
2,0.75,part-word,25,16.039164,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,25,67.40112,pi-go-la,1,1,acoustic
0,1.0,word,26,13.971892,pa-bi-ku,1,1,acoustic
1,1.0,word,26,20.857918,ti-bu-do,1,1,acoustic
2,0.75,part-word,26,16.04752,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,26,67.41973,pi-go-la,1,1,acoustic
0,1.0,word,27,13.991671,pa-bi-ku,1,1,acoustic
1,1.0,word,27,20.877071,ti-bu-do,1,1,acoustic
2,0.75,part-word,27,16.054348,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,27,67.45438,pi-go-la,1,1,acoustic
0,1.0,word,28,13.989501,pa-bi-ku,1,1,acoustic
1,1.0,word,28,20.884575,ti-bu-do,1,1,acoustic
2,0.75,part-word,28,16.066828,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,28,67.472855,pi-go-la,1,1,acoustic
0,1.0,word,29,13.980801,pa-bi-ku,1,1,acoustic
1,1.0,word,29,20.872513,ti-bu-do,1,1,acoustic
2,0.75,part-word,29,16.05567,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,29,67.45167,pi-go-la,1,1,acoustic
0,1.0,word,30,13.989166,pa-bi-ku,1,1,acoustic
1,1.0,word,30,20.876173,ti-bu-do,1,1,acoustic
2,0.75,part-word,30,16.059027,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,30,67.45794,pi-go-la,1,1,acoustic
0,1.0,word,31,13.961666,pa-bi-ku,1,1,acoustic
1,1.0,word,31,20.852554,ti-bu-do,1,1,acoustic
2,0.75,part-word,31,16.043636,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,31,67.404526,pi-go-la,1,1,acoustic
0,1.0,word,32,14.003397,pa-bi-ku,1,1,acoustic
1,1.0,word,32,20.90461,ti-bu-do,1,1,acoustic
2,0.75,part-word,32,16.077112,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,32,67.51089,pi-go-la,1,1,acoustic
0,1.0,word,33,13.983558,pa-bi-ku,1,1,acoustic
1,1.0,word,33,20.888668,ti-bu-do,1,1,acoustic
2,0.75,part-word,33,16.069914,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,33,67.46698,pi-go-la,1,1,acoustic
0,1.0,word,34,14.0081835,pa-bi-ku,1,1,acoustic
1,1.0,word,34,20.919773,ti-bu-do,1,1,acoustic
2,0.75,part-word,34,16.100328,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,34,67.53864,pi-go-la,1,1,acoustic
0,1.0,word,35,13.977816,pa-bi-ku,1,1,acoustic
1,1.0,word,35,20.858543,ti-bu-do,1,1,acoustic
2,0.75,part-word,35,16.046087,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,35,67.42655,pi-go-la,1,1,acoustic
0,1.0,word,36,13.9908285,pa-bi-ku,1,1,acoustic
1,1.0,word,36,20.879524,ti-bu-do,1,1,acoustic
2,0.75,part-word,36,16.05838,tu-da-ro,1,1,acoustic
3,0.752808988764045,part-word,36,67.46357,pi-go-la,1,1,acoustic
0,1.0,word,37,13.98647,pa-bi-ku,1,1,acoustic
1,1.0,word,37,20.905468,ti-bu-do,1,1,acoustic
