,tp,condition,model_num,ae_mse,word,epochs,exp,model_type
2,0.75,part-word,1,15.87798,tu-da-ro,4,1,acoustic
3,0.752808988764045,part-word,1,67.088554,pi-go-la,4,1,acoustic
0,1.0,word,2,13.888726,pa-bi-ku,4,1,acoustic
1,1.0,word,2,20.681595,ti-bu-do,4,1,acoustic
2,0.75,part-word,2,15.887707,tu-da-ro,4,1,acoustic
3,0.752808988764045,part-word,2,67.12095,pi-go-la,4,1,acoustic
0,1.0,word,3,13.904787,pa-bi-ku,4,1,acoustic
1,1.0,word,3,20.74299,ti-bu-do,4,1,acoustic
2,0.75,part-word,3,15.936792,tu-da-ro,4,1,acoustic
3,0.752808988764045,part-word,3,67.20966,pi-go-la,4,1,acoustic
0,1.0,word,4,13.886256,pa-bi-ku,4,1,acoustic
